MC,M,Which of the following statements is false? ,A subclass is generally larger than its superclass. ,Incorrect,A superclass object is a subclass object. ,Correct,The class following the extends keyword in a class declaration is the direct superclass of the class being declared.,Incorrect,Java uses interfaces to provide the benefits of multiple inheritance. ,Incorrect
MC,E,Inheritance is also known as the ,""knows-a"" relationship. ,Incorrect,""has-a"" relationship. ,Incorrect,""uses-a"" relationship. ,Incorrect,""is-a"" relationship. ,Correct
MC,H,An advantage of inheritance is that: ,All methods can be inherited. ,Incorrect,All instance variables can be uniformly accessed by subclasses and superclasses. ,Incorrect,Objects of a subclass can be treated like objects of their superclass. ,Correct,None of the above. ,Incorrect
MC,E,Which of the following keywords allows a subclass to access a superclass method even when the subclass has overridden the superclass method? ,base. ,Incorrect,this. ,Correct,public. ,Incorrect,super. ,Correct
MC,E,Using the protected keyword gives a member: ,public access. ,Incorrect,package access. ,Correct,private access. ,Incorrect,block scope. ,Incorrect
MC,E,Superclass methods with this level of access cannot be called from subclasses. ,private. ,Correct,public. ,Incorrect,protected. ,Incorrect,package. ,Incorrect
FIB,H,"Every class in Java, except ________, extends an existing class. ",Object.
TF,H,Overriding a method differs from overloading a method because Overridden methods have the same signature. ,TRUE
FIB,H,"To avoid duplicating code (and possibly errors), use ________, rather than ________. ","inheritance, the copy-and-past approach. "
MC,M,"Consider the classes below, declared in the same file: class A {   int a;   public A()   {a = 7; }}class B extends A{   int b;   public B()   {b = 8; }}Which of the statements below is false?",Both variables a and b are instance variables.,Incorrect,"After the constructor for class B executes, the variable a will have the value 7.",Incorrect,"After the constructor for class B executes, the variable b will have the value 8.",Incorrect,A reference of type A can be treated as a reference of type B.,Correct
MC,M,Which of the following is the superclass constructor call syntax? ,"keyword super, followed by a dot (.) . ",Incorrect,"keyword super, followed by a set of parentheses containing the superclass constructor arguments.",Correct,"keyword super, followed by a dot and the superclass constructor name.",Incorrect,None of the above. ,Incorrect
MC,E,Which superclass members are inherited by all subclasses of that superclass? ,private instance variables and methods. ,Incorrect,protected instance variables and methods. ,Correct,private constructors. ,Incorrect,protected constructors. ,Incorrect
MA,M,Which statement is true when a superclass has protected instance variables? ,"A subclass object can assign an invalid value to the superclasss instance variables, thus leaving an object in an inconsistent state. ",Correct,Subclass methods are more likely to be written so that they depend on the superclasss data implementation. ,Correct,We may need to modify all the subclasses of the superclass if the superclass implementation changes. ,Correct,None of the above. ,Incorrect
MC,H,private fields of a superclass can be accessed in a subclass ,by calling private methods declared in the superclass. ,Incorrect,by calling public or protected methods declared in the superclass. ,Correct,directly. ,Incorrect,All of the above. ,Incorrect
FIB,E,Failure to prefix the superclass method name with the keyword super and a dot (.) separator when referencing the superclasss method causes a(n) ________. ,infinite recursion.
MC,M,"When a subclass constructor calls its superclass constructor, what happens if the superclasss constructor does not assign a value to an instance variable? ",A syntax error occurs. ,Incorrect,A compile-time error occurs. ,Incorrect,A run-time error occurs. ,Incorrect,The program compiles and runs because the instance variables are initialized to their default values. ,Correct
MA,H,Which of the following statements are true?,We can use inheritance to customize existing software. ,Correct,A superclass specifies commonality. ,Correct,A superclass can be modified without modifying subclasses,Correct,A subclass can be modified without modifying its superclass. ,Correct
MC,M,Which of the following is an example of a functionality that should not be factored out to a superclass? ,Both ducks and geese are birds that know how to start flying from the water. ,Incorrect,All vehicles know how to start and stop. ,Incorrect,"All animals lay eggs, except for mammals. ",Correct,All paints have a color. ,Incorrect
MC,M,The default equals implementation determines: ,whether two references refer to the same object in memory. ,Correct,whether two references have the same type. ,Incorrect,whether two objects have the same instance variables. ,Incorrect,whether two objects have the same instance variable values. ,Incorrect
MC,E,When does Exceptions in Java arises in code sequence?,Run Time,Correct,Compilation Time,Incorrect,Can Occur Any Time,Incorrect,None of the mentioned,Incorrect,Run Time
MC,M,Which of these standard collection classes implements a dynamic array?,AbstractList,Incorrect,LinkedList,Incorrect,ArrayList,Correct,AbstractSet,Incorrect,ArrayList
MC,H,Which of the following methods is a method of wrapper Integer for obtaining hash code for the invoking object?,int hash(),Incorrect,int hashcode(),Incorrect,int hashCode(),Correct,Integer hashcode(),Incorrect,int hashCode()
MC,E,In the following statements which is a drawback for Applet?,It works at client side so less response time,Incorrect,Secured,Incorrect,It can be executed by browsers running under many platforms including Linux Windows and Mac Os etc.,Incorrect,Plugin is required at client browser to execute applet,Correct,Plugin is required at client browser to execute applet
MC,M,If subclass (child class) has the same method as declared in the parent class it is known as?,Method overriding,Correct,Method overloading,Incorrect,Constructor overloading,Incorrect,None of the above,Incorrect,Method overriding
MC,H,How many types of JDBC drivers are available?,3,Incorrect,4,Correct,2,Incorrect,5,Incorrect,4
MC,E,Which driver uses ODBC driver to connect to the database?,JDBC-ODBC bridge driver,Correct,Native-API driver,Incorrect,Network Protocol driver,Incorrect,Thin driver,Incorrect,JDBC-ODBC bridge driver
MC,M,Which exception is thrown by parseInt() and parseLong() methods?,ArithmeticException,Incorrect,ClassNotFoundException,Incorrect,NullPointerException,Incorrect,NumberFormatException,Correct,NumberFormatException
MC,H,In which state the thread is still alive but is currently not eligible to run?,Non-Runnable,Correct,Terminated,Incorrect,Runnable,Incorrect,Running,Incorrect,Non-Runnable
MC,E,SequenceInputStream class is used to read data from?,Single Stream,Incorrect,Multiple Streams,Correct,Multilevel Streams,Incorrect,None of the above,Incorrect,Multiple Streams
MC,M,Which of the following are not the methods of the Collection interface?,iterator,Incorrect,isEmpty,Incorrect,toArray,Incorrect,setText,Correct,"setText"""
MC,H,Which of the following best describes the use of the synchronized keyword?,Allows two process to run in paralell but to communicate with each other,Incorrect,Ensures only one thread at a time may access a method or object,Correct,Ensures that two or more processes will start and end at the same time,Incorrect,Ensures that two or more Threads will start and end at the same time,Incorrect,Ensures only one thread at a time may access a method or object
MC,E,Which of the following statements are true,An inner class may be defined as static,Incorrect,There are NO circumstances where an inner class may be defined as private,Incorrect,An inner class may extend another class,Incorrect,1 and 3,Correct,1 and 3
MC,M,Which of the following are not the methods of the Thread class?,yield(),Incorrect,sleep(long msec),Incorrect,go(),Correct,stop(),Incorrect,go()
MC,H,Which of the following will give compile time error?,"File f = new File(""autoexec.bat"");",Incorrect,DataInputStream d = new DataInputStream(System.in);,Incorrect,OutputStreamWriter o = new OutputStreamWriter(System.out);,Incorrect,"RandomAccessFile r = new RandomAccessFile(OutFile"");""",Correct,"RandomAccessFile r = new RandomAccessFile(OutFile"");"""
MC,E,What is garbage collection in the context of Java?,The operating system periodically deletes all of the java files available on the system.,Incorrect,Any package imported in a program and not used is automatically deleted.,Incorrect,"When all references to an object are gone, the memory used by the object is automatically reclaimed.",Correct,The JVM checks the output of any Java program and deletes anything that doesn't make sense.,Incorrect,"When all references to an object are gone, the memory used by the object is automatically reclaimed."
MC,M,If a thread is to be declared as a daemon thread it must be declared before,start method,Correct,run method,Incorrect,stop method,Incorrect,none,Incorrect,start method
MC,H,A monitor called mon has 5 threads in its waiting pool; all these waiting threads have the same priority. One of the threads is thread1. How can you notify thread1 so that it alone moves from Waiting state to Ready State?,Execute notify(thread1); from within synchronized code of mon.,Incorrect,Execute mon.notify(thread1); from synchronized code of any object.,Incorrect,Execute thread1.notify(); from synchronized code of any object.,Incorrect,You cannot specify which thread will get notified.,Correct,You cannot specify which thread will get notified.
MC,E,TreeMap class is used to implement which collection interface. Select the one correct answer,SortedSet,Incorrect,List,Incorrect,Tree,Incorrect,SortedMap,Correct,SortedMap
MC,M,Which of these statements is not legal? Select the correct answer.,int arr[][] = new int[5][5];,Incorrect,int[]arr[] = new int[5][5];,Incorrect,int[] arr = new int[5][];,Incorrect,int[] arr = new int[][5];,Correct,int[] arr = new int[][5];
MA,M,Types of access modifiers:,private,Correct,public,Correct,local,Incorrect,protected,Correct
MC,H,How many types of JDBC drivers are available?,3,Incorrect,4,Correct,2,Incorrect,5,Incorrect,4
MC,H,Which of the following methods is a method of wrapper Integer for obtaining hash code for the invoking object?,int hash(),Incorrect,int hashcode(),Incorrect,int hashCode(),Correct,Integer hashcode(),Incorrect,int hashCode()
MA,H,Which of the following statements are true?,We can use inheritance to customize existing software. ,Correct,A superclass specifies commonality. ,Correct,A superclass can be modified without modifying subclasses,Correct,A subclass can be modified without modifying its superclass. ,Correct
MC,E,Which driver uses ODBC driver to connect to the database?,JDBC-ODBC bridge driver,Correct,Native-API driver,Incorrect,Network Protocol driver,Incorrect,Thin driver,Incorrect,JDBC-ODBC bridge driver
MC,E,When does Exceptions in Java arises in code sequence?,Run Time,Correct,Compilation Time,Incorrect,Can Occur Any Time,Incorrect,None of the mentioned,Incorrect,Run Time
